"id","status","noCharge","completedOn","invoice_total","lon","lat","zip"
32984034,Completed,false,"2019-09-20T14:17:00",989,-83.387348,40.251729,"43040"
32984068,Completed,false,"2019-09-20T14:50:00",0,-83.110999,40.1223219,"43016"
32984082,Canceled,false,"2019-09-20T13:09:58.3389542",0,-83.023109,40.0981029,"43085"
32984899,Completed,false,"2019-09-23T18:10:00",0,-82.862836,40.169292,"43021"
32985185,Completed,false,"2019-09-20T14:41:00",50,-83.0092173,40.0221689,"43202"
32986574,Completed,false,"2019-09-20T19:25:00",0,-83.1030234,39.938125,"43228"
32664585,Canceled,false,"2019-09-10T17:27:33.9998428",0,-83.0642631,39.9106604,"43123"
32671711,Completed,false,"2019-09-12T13:53:00",348,-83.146638,40.02021999999999,"43026"
32986944,Dispatched,false,,1965,-83.0821659,40.1043996,"43235"
32685704,Hold,false,,0,-82.9957064,40.1207188,"43085"
32685847,Completed,false,"2019-09-12T17:59:00",0,-83.0946663,40.2089099,"43065"
32686227,Hold,false,,0,-83.0248782,40.0595124,"43214"
32286723,Completed,false,"2019-08-20T13:35:00",145,-82.85360600000001,40.105206,"43081"
32594015,Completed,true,"2019-09-11T17:52:00",0,-83.0645043,40.0048002,"43221"
32594692,Completed,false,"2019-09-11T18:22:00",0,-83.088698,39.9471069,"43204"
32660930,Completed,true,"2019-09-18T13:51:00",0,-82.927695,40.1913989,"43021"
32614413,Canceled,false,"2019-09-11T17:21:37.0340922",0,-83.094429,40.163745,"43065"
32614742,Completed,false,"2019-09-11T13:25:00",459,-83.0991882,40.0831021,"43017"
32620301,Canceled,false,"2019-09-05T14:30:44.1791834",0,-83.159329,39.938805,"43119"
32629284,Completed,true,"2019-09-11T19:41:00",0,,,"43209"
32687055,Completed,false,"2019-09-18T16:50:00",1629,-83.1625761,40.0078695,"43026"
32631063,Completed,false,"2019-09-11T16:10:00",49,-83.065689,40.0053798,"43221"
32631440,Completed,false,"2019-09-11T16:13:00",2208,-83.1744884,40.0187665,"43026"
32712834,Hold,false,,0,,,"43212"
